DATE;SP500;NASDAQ,AAPL;NASDAQ,AMZN;NASDAQ,GOOGL
1491244860;2356,6499;143,675;890,45;855,79
1491244920;2357,01;143,72;890,49;855,55
1491244980;2357,1299;143,7142;890,455;856
1491245040;2357,45;143,71;890,37;856,09
1491245100;2357,2;143,725;890,412;856,22
1491245160;2356,7;143,7;890,27;856,11
1491245220;2357,04;143,67;890,5224;855,82
1491245280;2357,0701;143,6847;890,66;855,93
1491245340;2357,28;143,67;890,69;855,99
1491245400;2357,45;143,6501;890,6635;855,87
1491245460;2357,1699;143,69;891,01;855,9857
1491245520;2356,96;143,6772;891,08;855,93
1491245580;2357,4299;143,67;891,1;855,7691
1491245640;2357,1001;143,69;890,96;856,02
1491245700;2357,3501;143,6721;890,63;855,97
1491245760;2357,2;143,69;890,61;856
1491245820;2356,8101;143,69;890,14;855,64
1491245880;2356,8;143,7;890,4;855,49
1491245940;2356,5901;143,6953;890,43;855,62
1491246000;2357,79;143,6973;890,41;855,47
1491246060;2357,3501;143,77;890,74;856,05
1491246120;2357,3;143,73;890,78;856,08
1491246180;2357,03;143,769;890,93;855,94
1491246240;2357,3201;143,745;890,9397;856
1491246300;2356,71;143,7791;890,7;856,06
1491246360;2356,27;143,67;890,69;856,04
1491246420;2356,6899;143,68;890,5;855,863
1491246480;2356,5601;143,6799;890,53;856,01
1491246540;2357,1101;143,69;890,396;855,98
1491246600;2358,1101;143,75;890,75;856,11
1491246660;2358,77;143,77;891,2;856,6
1491246720;2359,01;143,8147;891,38;856,95
1491246780;2359,05;143,82;891,49;857,36
1491246840;2359,49;143,81;891,687;857,17
1491246900;2359,25;143,8045;891,72;857,45
1491246960;2359,45;143,7945;891,55;857,36
1491247020;2359,02;143,773;891,3;857,19
1491247080;2359,51;143,7691;891,13;857,135
1491247140;2358,47;143,8;891,05;857,32
1491247200;2358,8101;143,7743;890,47;856,79
1491247260;2359,23;143,78;890,71;856,9001
1491247320;2359,28;143,79;890,8056;857,11
1491247380;2359,3101;143,82;891,32;857,28
1491247440;2360,3;143,81;891,46;857,35
1491247500;2359,1699;143,8699;892,18;857,7481
1491247560;2359,3501;143,84;891,95;857,54
1491247620;2358,8601;143,856;892,028;857,856
1491247680;2359,1799;143,81;891,89;857,7
1491247740;2359,0801;143,8157;892,069;857,7
1491247800;2357,47;143,8447;892,18;857,78
1491247860;2357,48;143,79;891,642;857,2
1491247920;2358,1101;143,8;891,73;857,6
1491247980;2357,6699;143,81;892,08;857,995
1491248040;2357,8601;143,78;891,74;857,77
1491248100;2357,74;143,81;891,82;857,84
1491248160;2358,3899;143,7947;891,855;857,76
1491248220;2359,02;143,82;892,33;857,99
1491248280;2358,5701;143,8361;892,2785;858,72
1491248340;2358,5;143,82;892,15;858,24
1491248400;2359,1699;143,8;892,22;858,57
1491248460;2358,7;143,85;892,91;858,91
1491248520;2358,8401;143,79;892,57;858,47
1491248580;2358,3799;143,76;892,82;858,4
1491248640;2359,25;143,75;892,5396;858,0599
1491248700;2359,3701;143,8;892,58;858,55
1491248760;2359,3301;143,785;892,815;858,88
1491248820;2359,3301;143,77;893,09;858,12
1491248880;2359,4299;143,8;893,155;858,18
1491248940;2359,27;143,79;893,42;858,15
1491249000;2358,52;143,77;892,93;857,54
1491249060;2358,1299;143,76;892,5;857,43
1491249120;2358,1399;143,7;892,28;857,43
1491249180;2358,6799;143,72;892,06;857,175
1491249240;2358,8999;143,7499;892,42;857,72
1491249300;2359,1499;143,78;892,265;857,51
1491249360;2359,3501;143,74;892,29;857,47
1491249420;2358,9099;143,7754;892,385;857,59
1491249480;2358,8999;143,75;892,38;857,21
1491249540;2358,96;143,775;892,37;857,2735
1491249600;2358,96;143,7;891,51;856,94
1491312600;2354,1101;143,27;891,5;848
1491312660;2355,55;143,2763;890,32;847,98
1491312720;2355,4199;143,53;891,25;848,68
1491312780;2354,8701;143,4;891,535;849,85
1491312840;2354,74;143,42;892,185;849,69
1491312900;2355,55;143,3999;893,4961;851,0983
1491312960;2354,52;143,56;893,32;851,34
1491313020;2354,21;143,53;893,24;848,94
1491313080;2354,95;143,515;892,48;848,773
1491313140;2354,01;143,5738;893,595;849,89
1491313200;2355,02;143,62;893,06;849,19
1491313260;2355,5701;143,75;894,68;850,64
1491313320;2356,8601;143,7812;896,19;849,93
1491313380;2357,27;143,91;898,09;851,75
1491313440;2356,95;143,86;896,785;852,5145
1491313500;2356,9399;143,7614;897,39;851,66
1491313560;2357,4299;143,86;898,05;850,79
1491313620;2357,0701;143,8512;898,38;851,86
1491313680;2356,3301;143,8701;898,68;852,1
1491313740;2356,26;143,78;897,59;850,7
1491313800;2356,27;143,76;897,34;850,11
1491313860;2355,97;143,75;897,0501;849,66
1491313920;2355,6201;143,74;896,686;849,61
1491313980;2355,6599;143,72;896,71;848,97
1491314040;2354,98;143,69;897,97;849,4024
1491314100;2355,3301;143,63;898,299;848,96
1491314160;2355,9299;143,6;898,42;849,379
1491314220;2355,53;143,6616;898,5769;849,75
1491314280;2355,7;143,68;898,379;849,1661
1491314340;2355,9099;143,66;898,45;848,84
1491314400;2356,1101;143,66;898,63;849,37
1491314460;2354,47;143,75;898,8964;849,57
1491314520;2353,4299;143,5911;898,88;848,58
1491314580;2352,6799;143,58;898,07;848,57
1491314640;2352,72;143,51;896,88;848
1491314700;2352,8601;143,55;897,611;848,48
1491314760;2353,25;143,64;898,18;848,57
1491314820;2353,04;143,65;897,42;848,0102
1491314880;2351,3701;143,62;897,2;848,34
1491314940;2351,78;143,55;896;847,69
1491315000;2351,22;143,609;896,39;848,085
1491315060;2351,1299;143,58;896,31;847,82
1491315120;2351,53;143,63;897;847,97
1491315180;2351,8301;143,645;896,201;848
1491315240;2352,23;143,642;896,9116;848,3864
1491315300;2351,73;143,7;897,22;848,5
1491315360;2352,3101;143,7299;897,75;848,4
1491315420;2352,48;143,81;897,99;849,05
1491315480;2352,6599;143,82;898,14;849,55
1491315540;2351,6001;143,86;898,54;849,7
1491315600;2352,52;143,775;898,3013;849,5
1491315660;2352,8201;143,7768;898,745;849,485
1491315720;2353,0801;143,76;898,93;849,6
1491315780;2353,1399;143,85;898,49;849,52
1491315840;2352,9099;143,81;898;849,72
1491315900;2353,1101;143,805;897,62;850,2
1491315960;2352,5601;143,9;898,09;850,43
1491316020;2352,6799;143,9301;898,07;850,48
1491316080;2352,3799;143,9225;897,63;850,5
1491316140;2353,1399;143,92;897,161;850,28
1491316200;2354,3899;144,0799;897,22;850,58
1491316260;2355,3899;144,14;897,709;851,68
1491316320;2355,3701;144,17;898,42;851,41
1491316380;2355,8401;144,105;897,961;851,669
1491316440;2355,23;144,0699;898,04;851,25
1491316500;2355,3799;144,0501;897,9755;850,9076
1491316560;2355,4099;144,1;898,3726;851,29
1491316620;2355,3999;144,1;898,4999;851,17
1491316680;2355,3799;144,135;898,52;851,055
1491316740;2354,6899;144,205;898,34;850,64
1491316800;2354,74;144,18;897,836;850,55
1491316860;2354,21;144,18;897,8686;850,52
1491316920;2354,8899;144,155;897,64;850,1
1491316980;2355,4399;144,2;897,74;850,21
1491317040;2353,95;144,1825;898,31;849,9
1491317100;2353,45;144,13;897,415;849,2
1491317160;2353,9099;144,0949;897,98;849,335
1491317220;2353,3999;144,1587;897,88;849,56
1491317280;2353,6599;144,12;898,07;849,52
1491317340;2352,72;144,135;898,195;849,76
1491317400;2353,8;144,0516;897,58;849,25
1491317460;2352,78;144,11;897,77;849,4775
1491317520;2353,03;144,0397;896,72;849,195
1491317580;2353,0901;144,0262;897,1835;849,29
1491317640;2352,9299;144,01;897,29;849,2486
1491317700;2352,96;143,93;897,43;849,47
1491317760;2353,6399;143,96;898;849,385
1491317820;2353,8799;143,99;898,16;849,625
1491317880;2353,99;144,0407;898,24;849,5
1491317940;2353,6001;144,0752;898,55;849,6
1491318000;2353,8301;144,03;898,07;849,5975
1491318060;2353,8999;144,07;897,918;849,6778
1491318120;2354;144,04;898,12;849,92
1491318180;2354,3999;144,08;898,135;850,06
1491318240;2355,3301;144,1058;898,515;850,26
1491318300;2355,0901;144,2;898,66;850,5599
1491318360;2354,6699;144,19;898,6503;850,5109
1491318420;2355,3;144,19;898,545;850,692
1491318480;2356,29;144,1817;898,6;850,9019
1491318540;2356,8701;144,18;898,55;851,435
1491318600;2356,3;144,31;898,63;851,45
1491318660;2356,3999;144,26;898,44;850,9
1491318720;2355,9099;144,2907;898,465;851,04
1491318780;2356,2;144,29;898,39;850,98
1491318840;2355,73;144,32;898,69;851,04
1491318900;2355,8701;144,27;898,555;850,65
1491318960;2356,48;144,33;898,72;851,3
1491319020;2356,4099;144,37;898,9999;851,27
1491319080;2356,5701;144,37;898,8698;851,351
1491319140;2357,1899;144,385;899,495;851,27
1491319200;2357,47;144,41;899,71;851,42
1491319260;2357,6699;144,4;899,53;851,669
